,username,comment,Pre-processing,label_sentimen,score,sentimen_numerik
0,cokipardedebebas,Jadi solusi nya apa dong?,solusi,positif,0.6124,2
1,mood.jakarta,Wahai netizen budiman… Tahukah kamu jika ngelike komentar ini tidak perlu menekan tombol love cukup ditekan 2kali kalimat ini,netizen budiman tahu ngelike komentar tekan tombol love tekan kali kalimat,negatif,-0.0037000000000000366,0
2,ortherthing,udah paling bener sekarang pake kaos partai,sudah bener pakai kaos partai,negatif,-0.03480000000000005,0
3,ian.sicko,"baju bekas udah ada dari jaman baheula, sebelum distro distro ada mereka udah ada duluan, pas distro lagi hype hypenya bahkan kaos dijual 300ribu/pcs pun, baju bekas ga ngeganggu market mereka, cuman mungkin sehabis pandemi kali ya, lapangan kerja turun orang tetep pengen fashionable tapi minim budget akhirnya nyobain thrift dan akhirnya habit ampe sekarang, seharusnya sih bisa beriiringan ya, ya meski diundang undang emang salah sih karna Impor Barang Bekas emang illegal

tapi kalo diliat kesejahteraan, banyak orang yang sekedar cukup dari sini, disaat lapangan kerja lagi pada nendangin orang satu per satu, thrift jadi solusi paling gampang emang, klo thrift distop dan larinya ke UMKM, yang sejahtera yang udah punya brand gede, dia dia orang aja yang sejahtera, sedangkan gue yakin 70% dari kita pasti pernah nyoba bikin brand clothing sendiri, dan itu susahnya naujubillah, mostly cuma orang orang yang bisa dibilang punya previledge yang bisa maju, gue bilang mostly loh ya ga semuanya, tetep ada yang dari 0 juga, tapi ya gimana ya bingung juga si 🙈

kalo di stop larinya ke lokal okedeh, tapi kalo larinya ke brand brand mall yang bukan lokal, sama aja dong 😅

just opini yaa ✌🏻",baju bekas sudah jaman baheula distro distro sudah duluan pas distro hype hypenya kaos jual ribu pcs baju bekas ngeganggu market cuma habis pandemi kali lapang kerja turun orang tetap ingin fashionable minim budget nyobain thrift habit sampai beriiringan undang undang emang salah karena impor barang bekas emang illegal lihat sejahtera orang dar saat lapang kerja nendangin orang thrift solusi gampang emang thrift stop lari umkm sejahtera sudah brand besar orang sejahtera saya nyoba brand clothing susah naujubillah mostly orang orang bilang previledge maju saya mostly tetap bagaimana bingung stop lari lokal okedeh lari brand brand mall lokal just opini yaa,netral,0.0,1
4,rifai.1979,"Beras, bawang, dan sembako lainnya  di STOP import juga dong kasian petani dan UMKM lokal chuakss",beras bawang sembako stop import kasihan tani umkm lokal chuakss,positif,0.07840000000000003,2
5,lintang.chyaa,"Setuju sih, baju2 bekas dr luar gak tau jg aman atau engga dari virus. Kalo harga dan kualitas, produksi dalam negeri utk garment juga gak kalah bagusnya. Support UMKM.",tuju baju bekas dari juga aman tidak virus harga kualitas produksi negeri garment kalah bagus support umkm,negatif,-0.0011999999999999789,0
6,adamjunio_,Lokal brand banyak kok yg bagus2 tapi Mahal pak,lokal brand bagus mahal,negatif,-0.10599999999999998,0
7,fadilahsukma_,Brand lokal ada jg yg bagus si tp harganyaaa... yaudadeh terserah *lanjut nonton live thrifting,brand lokal juga bagus tetapi harganyaa yaudadeh serah nonton live thrifting,netral,0.0,1
8,iggoxo,"Padahal pkai brang bekas jadi ramah lingkungan, kalau mau ada ga  bisnis sejenis tapi brang bagus dan ramah lingkungan",pakai brang bekas ramah lingkung bisnis jenis brang bagus ramah lingkung,positif,0.021499999999999964,2
9,rickyalhoira,"Solusinya apa ya mr? Itu halal loh, banyak orang mengais rezeki dari situ. Apa mau jadi banyak pengangguran bertajuk dalam negeri?",solusi mr halal orang kais rezeki situ anggur tajuk negeri,positif,0.12179999999999991,2
10,calathea.wear,"Menurut aku ga ada menurunin umkm dalam negri sih buktinya live shopping di platfom kayak toktok itu banyak banget umkm lancar lancar aja , bahkan sekarang umkm lagi tinggi” nya profit berkat spall spill yg ada di konten tiktok, kalo matiin bisnis thrift kasiann owner yang baru ngerintis udah keluarin modal, okelah lah kalo misal umkm maju bukain lowongan pekerjaan , tapi yang mengangur akan tetap menjadi buruh , yang makin kaya yang owner umkm , yang buruhnya akan tetap menjadi buruh, jelas membuat branding atau bisnis lokal ga cuma butuh 1jt-2jt kalo ga punya privilege ga bakal naik belum lagi naikinnya butuh endorse dll , realita dilapangan udah saya coba juga bisnis lokal , budget nya ga ngotak banget kalo buat pemula yang dana dikit ga bakal bisa, brand lokal hanya untuk mereka yang punya privilege just my opini",menurunin umkm negeri bukti live shopping platfom seperti toktok banget umkm lancar lancar umkm profit berkat spall spill konten tiktok mati bisnis thrift kasiann owner rintis sudah keluar modal oke umkm maju bukain lowong kerja mengangur buruh kaya owner umkm buruh buruh branding bisnis lokal butuh jt jt privilege naikinnya butuh endorse dan lain realita lapang sudah coba bisnis lokal budget ngotak banget mula dana sedikit brand lokal privilege just my opini,positif,0.0006000000000000449,2
11,fajarsukarno_,"Kalau begitu,Bukannya Brand Fast Fashion dari Luar juga mengganggu industri UMKM ya ? KWWKWKKWW.toh banyak juga Fast Fashion Brand yang sering Sale dan harganya oke,Branded lagi. Hayoloh. Bisnis Thrift uda di babat abis,gimana kalau Next Bisnis Fast Fashion di kasi Aturan yang kurang lehih serupa juga ? 🤣 berani ga? *eh",brand fast fashion ganggu industri umkm kwwkwkkww fast fashion brand sale harga oke branded hayoloh bisnis thrift sudah babat habis bagaimana next bisnis fast fashion kasih atur lehih berani eh,positif,0.006199999999999983,2
12,bragasdwi,"tau brand maternal disaster? itu brand lokal yang udah punya fanbase sendiri , reseller nya jg banyak bgt,pas mereka ngeluarin artikel terbaru, dalam hitungan jam udah pada habis, bahkan gua bisa bilang brand lokal ini terlaris di indonesia karna desainnya beda dari yang lain , dan mereka bisa bersaing di era gempuran thrifting , jangan bilang gua anti lokal brand , gua punya banyak outfit brand lokal jg , lingkungan gue jg banyak yg pake brand lokal , intinya sih selama lu bisa bikin desain , bahan bagus dan tau kemauan market , pasti laku kok , kecuali lo desain nge jiplak , bahan asal2 an , kw in produk orang ( apalgi kw in brand lokal) malah jadi ilfeel yang mau beli brand lokal, jadi please lah jangan senggol2 an ,",brand maternal disaster brand lokal sudah fanbase reseller juga banget pas keluar artikel baru hitung jam sudah habis saya brand lokal laris indonesia karena desain beda saing era gempur thrifting saya anti lokal brand saya outfit brand lokal juga lingkung saya juga pakai brand lokal inti kamu desain bahan bagus mau market laku kecuali kamu desain nge jiplak bahan an kau in produk orang apalgi kau in brand lokal ilfeel beli brand lokal mohon senggol an,negatif,-0.0016000000000000458,0
13,dianarikasari,"Really? Bukannya fast fashion brands kayak Zara, H&M, Cotton On, Pull & Bear, Stradivarius yang jauh lebih bikin bisnis lokal terpuruk ya? As a (small) shoe entrepreneur, ya kali bisa compete sama sneakers di H&M yang cuma Rp 199.000, sedangkan biaya produksi di Indonesia aja gak bisa segitu. When we say textile industry, can we also consider the environmental impact of continuing to produce new fabrics all the time? Can we think on a bigger scale, how to move forward more sustainably? I don't have an exact solution (duh!), but I think it's worth rethinking the whole landscape instead langsung bikin keputusan seperti ini. Just a while ago, kemenparekraf bangga banget Billie Eilish pake karya anak Indo. Tapi itu kan karya upcycling, which utilizes secondhand garments. I dream of the Indonesian goverment lebih forward thinking about the fashion industry. Fokus more into combatting barang KW, edukasi soal plagiarisme, push designers to innovate dan bukan jadi trend follower, ngajak entrepreneurs utk mengedepankan environmental values. Indonesia banyak orang kreatif tapi gak banyak yang visioner. Focus on the essentials? ✨",really fast fashion brands seperti zara cotton on pull bear stradivarius bisnis lokal puruk as small shoe entrepreneur kali compete sneakers rupiah biaya produksi indonesia segitu kapan we say textile industry dapat we juga timbang the environmental impact of continuing untuk produce new fabrics all the waktu dapat we think on bigger scale how untuk move forward more sustainably don have an exact solution duh but think it worth rethinking the whole landscape instead langsung putus just ketika ago kemenparekraf bangga banget billie eilish pakai karya anak indonesia karya upcycling which utilizes secondhand garments dream of the indonesian goverment forward thinking about the fashion industry fokus more into combatting barang kau edukasi plagiarisme push designers untuk innovate trend follower ngajak entrepreneurs depan environmental values indonesia orang kreatif visioner fokus on the essentials,positif,0.009000000000000008,2
14,gumilangwastuwidya,"Kalau menurutku ini cuma isu buat benturin antara masyarakat... Padahal kalau mau dikritisi justru lawan UMKM itu brand-brand luar negeri bukan Thrift... Sama-sama baru dan sama kualitasnya... Sedang thrift punya pasarnya sendiri karrna jelas kebiasaan reuse dan recyclr begini ya konsekuensi dari dosa fast fashion... Regulasi untuk membuat UMKM bersaing dengan brand fashion luar aja belum menguntungkan UMKM malah skg dibikin isu UMKM lawan Thrift... Yang mesti dikritisi juga adalah regulasi masuknya barang thrift yang selama ini kaya 'buang sampah'... Dan yang paling lucu masalah global perihal sampah fashion bukan tentang thriftnya tapi bagaimana industri fast fashion global yang bikin bajunya di Indonesia lalu dijual ke global lalu sampahnya dibuang di Indonesia lagi... Dan kita kudu dibenturkan dengan isu Thrift vs UMKM yang mana dua-duanya 'musuh' brand luar negeri... Bukankah ini semacam adu domba antara masyarakat penyuka UMKM dan masyarakat penyuka Thrift doang? Problem makernya bersembunyi dan kita tetap di adu domba, yang untung siapa? Ya Kapitalis... 😂",turut isu benturin masyarakat kritisi lawan umkm brand brand negeri thrift kualitas thrift pasar karrna biasa reuse recyclr konsekuensi dosa fast fashion regulasi umkm saing brand fashion untung umkm skg bikin isu umkm lawan thrift mesti kritisi regulasi masuk barang thrift kaya buang sampah lucu global perihal sampah fashion thriftnya industri fast fashion global baju indonesia jual global sampah buang indonesia kudu bentur isu thrift vs umkm dua musuh brand negeri adu domba masyarakat suka umkm masyarakat suka thrift saja problem makernya sembunyi adu domba untung kapitalis,negatif,-0.007099999999999995,0
15,cars.outsides,tapi thrift ga merugikan rakyat,thrift rugi rakyat,negatif,-0.7906,0
16,uswoosh.id,"Bukannya produksi brand kaya zara,H&M, Uniqlo gitu lebih merugikan ya? liat aja mahasiswa sekarang yang notabene nya salah satu target pasar industri fashion kebanyakan pasti pakai fashion brand mereka , alasannya apa? ya karna biaya produksi brand lokal di indo masih gasebanding sama kualitas brand fast fashion luar dengan harga yang sama, please think on a bigger scale, emang semisal thrift dihapus brand lokal bakal lebih naik? ato jangan jangan ntar lebih banyak yang co hoodie h&m 100rb an di shopee 😌, tapi apalah dayaku yang mau ditutup",produksi brand kaya zara uniqlo begitu rugi lihat mahasiswa notabene salah target pasar industri fashion banyak pakai fashion brand alas karena biaya produksi brand lokal indonesia gasebanding kualitas brand fast fashion harga mohon think on bigger scale emang thrift hapus brand lokal ato nanti cowok hoodie rb an shopee apa daya tutup,negatif,-0.016199999999999992,0
17,whiz.officialstore_tlg,Apakabar yg import beras ???? Apakah itu memperdulikan kesejahteraan para petani lokal ?,apakabar import beras duli sejahtera tani lokal,positif,0.2277999999999999,2
18,arif.lau,"Itu karena konsumen Indonesia banyak dari kelas menengah dan kebawah mempunyai keinginan mempunyai pakai kualitas baik, brand bagus tapi harga kaki lima, kebutuhan ini akan sulit di produksi oleh pabrik tekstil local, akhirnya mayarakat memilih barang bekas luar negeri, bermerek, second dan bahan berkualitas. Sayang nya pemerintah tidak bisa menciptakan ekosistem seperti ini.",konsumen indonesia kelas tengah bawah pakai kualitas brand bagus harga kaki butuh sulit produksi pabrik tekstil lokal mayarakat pilih barang bekas negeri merek second bahan kualitas sayang perintah cipta ekosistem,negatif,-0.0011999999999999789,0
19,r.rizqiie,"Yaa orang kualitas bagus, harganya murah. Lah disini mah kualitas gembel juga harganya mahal",yaa orang kualitas bagus harga murah mah kualitas gembel harga mahal,positif,0.03859999999999997,2
20,adrialbadri,mau beli lokal tapi brand lokal kebanyakan modelnya gitu-gitu aja :(,beli lokal brand lokal banyak model begitu begitu,positif,0.059900000000000064,2
21,badakkekar,Yg penting 100rb dapat 3 😂,rb,netral,0.0,1
22,anisakaysta,Kenapa sih konsennya ke BEKAS yang MENGGANGGU ? Kenapa yang BRANDED harga selangit itu gak diliat ? Itu mengancam UMKM juga lho. Coba artis2 dan horaaang kayaaa indonesia jangan pake yang branded. Pake LOKAL AJA.,konsennya bekas ganggu branded harga langit lihat ancam umkm lho coba artis horaang kayaa indonesia pakai branded pakai lokal,positif,0.0121,2
23,ameliarbi,"Barang thrift 30ribu udah bagusss bgt bahannya, barang lokal yg harganya 30ribu bahannya kayak kain perasan santan pak🙃",barang thrift ribu sudah baguss banget bahan barang lokal harga ribu bahan seperti kain asa santan,negatif,-0.010700000000000043,0
24,alexpakekx,Yup harus banned2 pakaian thrift biar lokal pada laris,yup banned pakai thrift lokal laris,netral,0.0,1
25,taryshathalia_,"Skrg apa pak jokowi bisa bantu kita dpt pekerjaan setelah tempat kerja kita ditutup karna usaha thrifting? Karyawan bos saya sudah banyak pak. Kalo bapak bertindak seperti ini bukan jadi solusi yg baik tapi menjadi masalah baru yaitu meningkatnya pengangguran di Indonesia. Sedangkan apakah umkm membuka lapangan kerja untuk kita? Rezek sudah diatur sama Allah pak, percaya dan yakin semua gaakan pernah tertukar. Sedih saya gabisa kerja lagi karna bos saya udah diamankan dan 65 bal sudah diamankan juga:(",sekarang jokowi bantu dapat kerja kerja tutup karena usaha thrifting karyawan bos tindak solusi tingkat anggur indonesia umkm buka lapang kerja rezek atur allah percaya tidak akan tukar sedih tidak bisa kerja karena bos sudah aman bal aman,negatif,-9.999999999998899e-05,0
